mpg,cylinders,displacement,horsepower,weight,acceleration,model_year,car_name,USA,Europe,Japan,company_name,VW,amc,audi,bmw,buick,cadillac,chevrolet,chrysler,datsun,dodge,fiat,ford,hi,honda,mazda,mercedes-benz,mercury,oldsmobile,opel,peugeot,plymouth,pontiac,renault,saab,subaru,toyota,triumph,volvo
18.0,8.0,307.0,130.0,3504.0,12.0,70.0, chevelle malibu,1,0,0,chevrolet,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15.0,8.0,350.0,165.0,3693.0,11.5,70.0, skylark 320,1,0,0,buick,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18.0,8.0,318.0,150.0,3436.0,11.0,70.0, satellite,1,0,0,plymouth,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
16.0,8.0,304.0,150.0,3433.0,12.0,70.0, rebel sst,1,0,0,amc,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17.0,8.0,302.0,140.0,3449.0,10.5,70.0, torino,1,0,0,ford,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15.0,8.0,429.0,198.0,4341.0,10.0,70.0, galaxie 500,1,0,0,ford,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14.0,8.0,454.0,220.0,4354.0,9.0,70.0, impala,1,0,0,chevrolet,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14.0,8.0,440.0,215.0,4312.0,8.5,70.0, fury iii,1,0,0,plymouth,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
14.0,8.0,455.0,225.0,4425.0,10.0,70.0, catalina,1,0,0,pontiac,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
15.0,8.0,390.0,190.0,3850.0,8.5,70.0, ambassador dpl,1,0,0,amc,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15.0,8.0,383.0,170.0,3563.0,10.0,70.0, challenger se,1,0,0,dodge,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14.0,8.0,340.0,160.0,3609.0,8.0,70.0, 'cuda 340,1,0,0,plymouth,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
15.0,8.0,400.0,150.0,3761.0,9.5,70.0, monte carlo,1,0,0,chevrolet,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14.0,8.0,455.0,225.0,3086.0,10.0,70.0, estate wagon (sw),1,0,0,buick,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24.0,4.0,113.0,95.0,2372.0,15.0,70.0, corona mark ii,0,0,1,toyota,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
22.0,6.0,198.0,95.0,2833.0,15.5,70.0, duster,1,0,0,plymouth,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
18.0,6.0,199.0,97.0,2774.0,15.5,70.0, hornet,1,0,0,amc,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21.0,6.0,200.0,85.0,2587.0,16.0,70.0, maverick,1,0,0,ford,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27.0,4.0,97.0,88.0,2130.0,14.5,70.0, pl510,0,0,1,datsun,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26.0,4.0,97.0,46.0,1835.0,20.5,70.0, 1131 deluxe sedan,0,1,0,VW,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25.0,4.0,110.0,87.0,2672.0,17.5,70.0, 504,0,1,0,peugeot,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
24.0,4.0,107.0,90.0,2430.0,14.5,70.0, 100 ls,0,1,0,audi,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25.0,4.0,104.0,95.0,2375.0,17.5,70.0, 99e,0,1,0,saab,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
26.0,4.0,121.0,113.0,2234.0,12.5,70.0, 2002,0,1,0,bmw,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21.0,6.0,199.0,90.0,2648.0,15.0,70.0, gremlin,1,0,0,amc,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.0,8.0,360.0,215.0,4615.0,14.0,70.0, f250,1,0,0,ford,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.0,8.0,307.0,200.0,4376.0,15.0,70.0, c20,1,0,0,chevrolet,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11.0,8.0,318.0,210.0,4382.0,13.5,70.0, d200,1,0,0,dodge,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9.0,8.0,304.0,193.0,4732.0,18.5,70.0, 1200d,1,0,0,hi,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27.0,4.0,97.0,88.0,2130.0,14.5,71.0, pl510,0,0,1,datsun,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28.0,4.0,140.0,90.0,2264.0,15.5,71.0, vega 2300,1,0,0,chevrolet,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25.0,4.0,113.0,95.0,2228.0,14.0,71.0, corona,0,0,1,toyota,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
25.0,4.0,98.0,101.0,2046.0,19.0,71.0, pinto,1,0,0,ford,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19.0,6.0,232.0,100.0,2634.0,13.0,71.0, gremlin,1,0,0,amc,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16.0,6.0,225.0,105.0,3439.0,15.5,71.0, satellite custom,1,0,0,plymouth,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
17.0,6.0,250.0,100.0,3329.0,15.5,71.0, chevelle malibu,1,0,0,chevrolet,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19.0,6.0,250.0,88.0,3302.0,15.5,71.0, torino 500,1,0,0,ford,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18.0,6.0,232.0,100.0,3288.0,15.5,71.0, matador,1,0,0,amc,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
