cylinders,displacement,horsepower,weight,acceleration,model_year,car_name,kpl,USA,Europe,Japan
8.0,5030.809,130,1589.1156462585034,12.0,70.0,chevrolet chevelle malibu,7.653061224489797,1,0,0
8.0,5735.45,165,1674.8299319727892,11.5,70.0,buick skylark 320,6.377551020408164,1,0,0
8.0,5211.066,150,1558.2766439909296,11.0,70.0,plymouth satellite,7.653061224489797,1,0,0
8.0,4981.648,150,1556.9160997732426,12.0,70.0,amc rebel sst,6.802721088435375,1,0,0
8.0,4948.874,140,1564.172335600907,10.5,70.0,ford torino,7.227891156462586,1,0,0
8.0,7030.023,198,1968.7074829931971,10.0,70.0,ford galaxie 500,6.377551020408164,1,0,0
8.0,7439.698,220,1974.6031746031745,9.0,70.0,chevrolet impala,5.9523809523809526,1,0,0
8.0,7210.280000000001,215,1955.5555555555554,8.5,70.0,plymouth fury iii,5.9523809523809526,1,0,0
8.0,7456.085,225,2006.8027210884354,10.0,70.0,pontiac catalina,5.9523809523809526,1,0,0
8.0,6390.93,190,1746.031746031746,8.5,70.0,amc ambassador dpl,6.377551020408164,1,0,0
8.0,6276.2210000000005,170,1615.873015873016,10.0,70.0,dodge challenger se,6.377551020408164,1,0,0
8.0,5571.58,160,1636.734693877551,8.0,70.0,plymouth 'cuda 340,5.9523809523809526,1,0,0
8.0,6554.8,150,1705.6689342403627,9.5,70.0,chevrolet monte carlo,6.377551020408164,1,0,0
8.0,7456.085,225,1399.5464852607709,10.0,70.0,buick estate wagon (sw),5.9523809523809526,1,0,0
4.0,1851.731,95,1075.7369614512472,15.0,70.0,toyota corona mark ii,10.204081632653061,0,0,1
6.0,3244.626,95,1284.8072562358277,15.5,70.0,plymouth duster,9.35374149659864,1,0,0
6.0,3261.013,97,1258.0498866213152,15.5,70.0,amc hornet,7.653061224489797,1,0,0
6.0,3277.4,85,1173.2426303854875,16.0,70.0,ford maverick,8.928571428571429,1,0,0
4.0,1589.539,88,965.9863945578231,14.5,70.0,datsun pl510,11.479591836734695,0,0,1
4.0,1589.539,46,832.1995464852607,20.5,70.0,volkswagen 1131 deluxe sedan,11.054421768707483,0,1,0
4.0,1802.5700000000002,87,1211.7913832199547,17.5,70.0,peugeot 504,10.629251700680273,0,1,0
4.0,1753.409,90,1102.0408163265306,14.5,70.0,audi 100 ls,10.204081632653061,0,1,0
4.0,1704.248,95,1077.0975056689342,17.5,70.0,saab 99e,10.629251700680273,0,1,0
4.0,1982.827,113,1013.1519274376417,12.5,70.0,bmw 2002,11.054421768707483,0,1,0
6.0,3261.013,90,1200.907029478458,15.0,70.0,amc gremlin,8.928571428571429,1,0,0
